Encuesta Mensual de Comercio - EMC;;;;;;;;;;;;;;;;;;;;;
1.1 Índices empalmados de las ventas en valores nominales por líneas de mercancía de la EMC  - Total nacional(pr);;;;;;;;;;;;;;;;;;;;;
Base 2019 = 100;;;;;;;;;;;;;;;;;;;;;
Enero 2013 - mayo 2023;;;;;;;;;;;;;;;;;;;;;
Fuente: DANE - EMC;;;;;;;;;;;;;;;;;;;;;
"Pr Provisional: Como parte del proceso de producción estadística, el DANE realiza una evaluación continua en cada una de las fases del proceso de recolección, procesamiento y análisis; como consecuencia de este proceso se pueden presentar cambios en la serie histórica por actualización de la información recibida de parte de las fuentes informante.";;;;;;;;;;;;;;;;;;;;;
*Las series de ventas empalmadas corresponden al total sin otros vehículos, debido a que son los datos comparables históricamente porque anteriormente no se publicaba información sobre este tipo de vehículos. Por tanto, solo incluye los vehículos de uso principalmente de los hogares. La series se empalman por el método de retropolación manteniendo las tasas de variación anuales.;;;;;;;;;;;;;;;;;;;;;
La información generada en la EMC incluye tanto las ventas minoristas como mayoristas realizadas por las empresas, la versión anterior (EMCM) incluía solo las ventas minoristas, excepto en lo correspondiente a la venta de repuestos.;;;;;;;;;;;;;;;;;;;;;
"Como parte del proceso de producción estadística, el DANE realiza análisis y actualización continua de la información en cada una de las fases del proceso; como consecuencia de este proceso se presentan cambios en la serie histórica por actualización de la información recibida de parte de las fuentes informantes. ";;;;;;;;;;;;;;;;;;;;;
Actualizado el 14 de julio de 2023;;;;;;;;;;;;;;;;;;;;;
Year;Mes;Total comercio minorista sin otros vehiculos;Total comercio minorista sin vehiculos;Total comercio minorista sin otros vehiculos y sin combustibles;Total comercio minorista sin combustibles ni vehiculos;1. Alimentos (viveres en general) y bebidas no alcoholicas;2. Bebidas alcoholicas, cigarros, cigarrillos y productos del tabaco;3. Prendas de vestir y textiles ;4. Calzado, articulos de cuero y sucedaneos del cuero;5. Productos farmaceuticos y medicinales;6. Productos de aseo personal, cosmeticos y perfumeria;7. Electrodomesticos, muebles para el hogar;8. Articulos y utensilios de uso domestico;9. Productos para el aseo del hogar;10. Equipo de informatica y telecomunicaciones para uso personal o domestico;11. Libros, papeleria, periodicos, revistas y utiles escolares;12. Articulos de ferreteria, vidrios y pinturas;13. Otras mercancias para uso personal o domestico, no especificadas anteriormente;14. Repuestos, partes, accesorios y lubricantes para vehiculos;15. Combustibles para vehiculos automotores;16. Vehiculos automotores y motocicletas
2013;  Enero;60,1;60,3;57,2;57;49,8;38,2;54,1;68,7;66,5;65,6;65,6;66;53,2;48,3;192;56,5;48,3;68,7;75,9;57,4
;  Febrero;58,2;56,5;55,6;53,2;47,7;34,5;46,5;60,6;58,7;60,9;61,5;61,9;48,8;50,8;134,8;56,6;46;64,7;72,3;69,8
;  Marzo;62,1;61,1;60,1;58,5;55,8;45;53,2;68,7;66;72;68,3;76,8;55;55,7;59;59,8;50,2;60,7;74,8;68,8
;  Abril;61,5;59,5;58;55,2;51,3;36,4;48,1;61,2;65,5;63;66,8;57,3;49,1;48,6;53,8;58,8;49,1;70;80;74
;  Mayo;63,2;62,3;60,9;59,3;53,2;43,2;61,3;74,6;66,9;68,6;73,8;64,2;52,5;53,7;59,6;62,6;54,9;69,4;76,2;69,5
;  Junio;63,4;62,9;61,4;60,4;52,5;50,5;72,5;82,2;67,6;71,7;71,5;66;54,1;58,3;48,8;62,9;51,9;66,6;76,6;65,3
;  Julio;67;65;64,5;61,6;54,2;41,7;65,2;76,9;69,7;70,3;78,4;71,5;53,1;58,8;64,4;67,7;54;71,8;81,4;81
;  Agosto;65,3;64,1;62,8;60,9;54,7;42,1;59,5;74,3;67,1;66,8;74,9;67,9;53,2;63,8;79;68,1;55,3;67,8;79,9;74
;  Septiembre;63,2;61,4;61;58,3;52,8;41,3;59;75,5;64;66,2;67,1;61,7;51,2;53;61,4;66,8;55;68,1;76,2;76,3
;  Octubre;65,4;63,3;62,5;59,6;52,9;44,2;59,3;76,6;66,2;67,2;66,3;68,2;52,1;53,5;54;66,7;62;72,4;81;79,8
;  Noviembre;68,3;66,2;67,2;64,5;52,6;52,3;76,8;91,6;65,4;71,9;73,7;80,4;52,9;65,9;53,6;71,3;79,2;71;77,2;82,7
;  Diciembre;85,8;86,8;88,5;90,2;65,6;118,3;173,2;202,8;72,5;88,6;94,3;101,1;60,5;97,2;78,3;72,5;113,6;75,4;79,3;77,4
2014;  Enero;64,5;63,4;62,2;60,6;53;38,5;56,4;75;73,2;67,9;73,1;68;57,5;49,7;190,5;62,4;51,9;73,3;76,6;70,5
;  Febrero;62,7;60,5;60,5;57,5;51,2;33,3;49,4;65,9;67,7;63,4;70,1;64,7;53,3;52,7;134,3;66,9;49,4;71,3;74,6;78
;  Marzo;68,6;67;66,7;64,5;60,6;39,9;57,1;72,3;76,7;76,3;78,9;72;62,1;61,7;72,3;68,6;54,6;73,4;80;78,8
;  Abril;66,7;65,1;63,7;61,3;57,4;41,5;55,5;68,3;73,6;70,6;72,1;64,7;56,4;56,8;65,4;63,7;55,9;71,7;82,6;77
;  Mayo;69,9;69;67,4;65,8;58,8;45,3;65,3;80,6;75,4;72,2;84;65,4;58,2;67,4;71,2;68,3;57,4;78,3;84,2;76,1
;  Junio;66,5;66,7;65,1;65,1;57,2;53,5;74,9;86,6;74,4;73;78,3;65,7;58,1;73,6;49;64,4;54;69,5;75,8;63,8
;  Julio;72,1;69,7;69,5;66,1;59,4;44,9;65,4;80,7;80,5;75,5;82,1;72,8;58,6;56,7;69,1;73,2;56,2;81;87,2;88,9
;  Agosto;72,2;70,1;69,8;66,9;61,7;47,1;62,7;82,7;76,1;74,1;82,7;75,5;61,8;64,1;82,6;72,7;59;75,1;85,6;86,4
;  Septiembre;70,4;67;67,8;63,3;57,5;44,6;59,4;78,8;73,7;68,7;74,4;68,1;56,7;54;65,1;77;57,6;78,2;85,2;93,5
;  Octubre;74,5;71,5;72,2;68,1;60;50,5;69,3;80;76,7;76,9;81,1;86,9;62,4;62,5;57,6;78,7;66,6;80,1;86,7;95,9
;  Noviembre;75,1;72,4;74,7;71,2;60,9;56,1;79,2;99,2;74,9;75,4;80,4;86,3;61,3;70;59,3;86,3;88,2;74,9;80,6;93,9
;  Diciembre;96,2;95,4;99,4;99;73,5;131,9;186,7;214,6;83,9;95,8;102,9;102,4;69,1;101,9;86,2;85,3;129,5;80,7;88,3;99,1
2015;Enero;70,3;70,4;68,2;68,1;61,2;46,1;61,8;85,2;78,6;75,5;77,8;74,7;66;55,2;202,9;76,5;57,1;80,9;80,8;68
;Febrero;66,9;65,9;65,3;63,8;59,1;40;51,9;68,1;71;71,1;70,8;70,1;61,1;58,1;130,6;79;53,5;79,4;75,1;74,4
;Marzo;73,1;71,6;72,4;70,5;67,5;47;60,4;75,2;81,7;83,3;81,8;75,2;68,1;65,7;69;82,9;58,3;81,2;77,2;82,8
;Abril;68,2;68;66,4;65,8;64,6;45,3;55,2;67,6;77;74,6;73,9;65,6;62,5;55,7;61,4;77,8;56,4;78,9;76,6;69,6
;Mayo;73;73,2;72,3;72,4;67,4;55,4;70,7;85,6;79,6;84,4;89,7;73,8;68,5;65,2;71,4;83,9;62,4;79,9;75,7;72,8
;Junio;72,8;72,1;72;71;62,7;59,6;79,2;85,3;81,1;80,8;85,1;73,7;65,3;69;54,8;83,1;59,9;80,2;78,3;75,6
;Julio;78,5;76,2;76,4;73,2;65,8;52,9;73,4;86,2;84,2;82,8;86,8;78,9;66,2;61;73,7;91,7;63,8;90,6;90,3;94,6
;Agosto;79,3;78,1;78,2;76,6;69,2;54,8;69,2;88;83,4;83,9;95;87;69,8;76,8;91,4;93;68,1;89,5;84,1;88
;Septiembre;76,2;74,7;74,6;72,5;66,2;52;67,6;84,6;81,8;78,2;84;76,2;63,7;63,2;73,1;94,4;64,7;90,5;84,4;87
;Octubre;78,9;78,7;77,1;76,5;69,2;60,4;76,9;86,5;83,9;86;85,8;92,7;68;66;66,3;95;75,4;90,4;87,7;81,1
;Noviembre;79,4;79;80;79,5;67,3;62,9;90,3;103,4;81,7;82;87,2;93,4;65,7;78,8;66,9;97,9;98,9;89;78,6;83,7
;Diciembre;102,8;104,5;107,5;110,4;83,9;157,1;206;219,2;89,5;106,9;109;114,4;76,1;106,4;99,4;98,2;142,2;97,7;86;89,6
2016;Enero;77,7;78,1;77,4;78;72,3;59,1;71,6;90,4;84,8;85,6;84,9;84;75,4;61,7;236,5;83,5;63,3;93,9;76,4;73,2
;Febrero;76,2;75,2;76,2;74,9;70,7;46,7;60,3;74;80,7;81,8;84,6;76,2;70,5;71;137;89,9;61,6;95,4;74,4;83,7
;Marzo;76,9;76,7;76,8;76,6;76,3;57,3;64,5;76,6;88,2;87,6;82,4;75,4;71,5;64,6;71,6;85,7;64,5;92,5;77,6;78
;Abril;77,9;76,9;77,5;76,3;75,1;50,6;62,8;76,3;85;83,3;84,8;73,2;70,8;68,1;70,5;88,1;64,8;95,7;77;84,7
;Mayo;79,5;79,9;79,4;79,8;77,5;58,6;75,1;86,8;88,5;85,8;90,8;77,9;73;72,5;75,4;91,9;67,1;92,3;78,6;78,1
;Junio;78,5;78,2;78,8;78,6;73,7;61,7;84,5;84,6;91;82,4;82,6;71,7;70,8;74;63,3;89,1;65,5;95,5;76,6;78,2
;Julio;81,7;82,5;82,3;83,3;81,2;64,5;82;91,9;90,9;91,5;92,2;88,9;76,8;78,4;83,9;91,4;68;91,2;76,3;77,2
;Agosto;83,9;82,8;83,4;82;78,2;55,5;70,8;80,5;91;83,9;91,7;83;72,1;82,8;93,9;96,9;72;101,2;85;91,9
;Septiembre;80,4;78,9;80;78,1;75,3;59,7;73;83,8;85,3;83,2;79,6;76,9;70,5;69,1;77,5;90,9;66,3;96,8;81,4;91,4
;Octubre;83;82,9;82,9;82,8;79;64,2;81,7;85,7;87,9;88,8;87,1;92,2;76,1;77;72,9;95;79;94,6;81,1;84,4
;Noviembre;87,9;84,6;89,9;86,3;73,4;68,9;97,7;98,8;86,5;82,6;92,9;92,9;70,3;106,5;71,4;98,6;99,4;96,6;78,5;110,6
;Diciembre;115;112,1;122;119,7;94,9;175,2;222,6;212,6;96,7;112,7;107,8;119,6;87,1;119,6;107,1;102,8;145,1;106,8;86,3;130,6
2017;Enero;80,2;81,4;80;81,5;77,8;63,8;73,2;83;91,5;86,1;83,5;86,6;79;72;236,4;85,1;68,7;92,7;78,6;70,6
;Febrero;74,4;74,1;73,5;73;73,4;52,4;56,6;64,5;81,7;76,5;71,5;71,5;69,1;63,5;147,2;82,3;62,9;90,5;77,7;76,7
;Marzo;82,2;81,7;82,2;81,6;82,7;55,9;66,5;69,1;94,6;89,9;80,7;80,1;78,4;79,6;78,6;88,3;70,6;96,2;82,1;85,2
;Abril;78,9;79,9;77,9;78,9;83,5;62,1;64,7;70,7;88,4;84,9;79,1;76,3;76,3;71,5;67,9;79,7;68,9;87,2;81,5;72,4
;Mayo;81,9;82,1;81,2;81,3;81,3;63,6;75,7;77,4;91,9;86,7;83,9;73,6;76;77,3;77,1;86,2;70,6;92,9;84,4;81,1
;Junio;81,1;81,5;80,9;81,4;78,4;67,7;88;81,8;93,3;84,9;81,9;76,8;74,8;77,5;62;86;73,3;93,3;82,6;76,5
;Julio;86,3;86,8;86,1;86,8;85;68;84,4;84,9;97;95;91,6;91,7;82,6;84,8;87,1;90,9;74,9;94,6;85,5;83
;Agosto;85,1;85;84;83,6;82,3;64,2;71,6;74,1;95,4;83;89,3;81,4;76,4;85,4;92,8;95;76,3;96,9;89,8;86,5
;Septiembre;83,5;83,2;82,5;82;81,9;65,6;77,5;81,5;91,2;87,5;78,4;77;78,3;75,2;76,6;89,2;74,1;92,5;88,1;86,5
;Octubre;84,9;84,8;84,1;83,9;82,7;69,5;80,4;77,9;94;86,6;81;89,1;78,5;77,5;71,7;92,7;84,9;92,7;87,5;86,2
;Noviembre;88,8;88,9;89,8;89,9;79,6;74,9;100,2;98;90,7;83;95,9;97,7;77,5;107,4;73,8;98;108,4;94,9;86,1;90,1
;Diciembre;112,2;114,7;117,7;121,7;100,6;198,7;229,3;210,6;99;108,8;97,8;118,3;91,4;119,6;105;94,1;154,2;99,3;92,6;93,9
2018;Enero;86,4;86,1;85,8;85,5;83,8;66,4;75,2;79,1;95,4;88,2;85,8;89;85,6;77,4;226,4;83,8;75,9;96,4;86,8;86,6
;Febrero;80;79,4;79,2;78,3;79,9;56,5;60,6;64,4;85,5;82,1;74,7;77;78,6;76,2;143,1;82,2;68;91,4;82,9;84,7
;Marzo;88,2;88,4;87,7;87,8;92,4;71,4;74,4;71,1;97,7;96,3;84,4;89,2;90,2;86,3;93,4;84,9;77,2;91,2;91,4;86,9
;Abril;85,2;85,1;83,9;83,7;86,6;58,4;67,3;66;92,2;84,8;82,1;78,9;84,5;86,4;96,9;87,1;75,4;94,5;89,1;85,4
;Mayo;88,2;88,6;87,3;87,7;88;70;80,9;77,1;97;89;88,5;82,4;86,1;94,5;84,6;89,7;81;93,2;91,7;86
;Junio;88;88,8;87,2;88,2;86,4;87,8;93,6;80,1;98,8;91;84,7;81,3;86,2;97,1;65,6;85,3;79,5;90,9;92,8;80,4
;Julio;90,9;90,9;90,3;90,1;91,1;76,4;86,2;81,6;100,1;95,1;93;95,2;90,8;83,1;83,4;92,5;81,5;94,9;93,5;92,1
;Agosto;91,5;90,9;90;89,1;89,6;75,2;75,7;74,5;98,3;87,8;93,9;91,8;87,3;88,7;96,5;99;86,1;96,4;98,5;96,2
;Septiembre;90,2;89,7;89,3;88,6;90,8;78,6;81,2;86,7;92,8;93,8;86,1;92,1;90,2;81,3;77,8;95,7;82,9;91,2;94,1;94,3
;Octubre;92,2;91,3;90,6;89,3;88,4;79,3;82,1;81;97,3;88,2;84,1;100,4;86,7;84,7;71,7;102,1;93,3;98,4;99,3;99,3
;Noviembre;100,7;96,1;102;96,6;85,6;95,5;106;107,1;93,5;87,5;101,7;115,2;85,7;117,5;74,9;105,3;119,8;96,9;96,5;132
;Diciembre;121,8;122,1;127,4;128,6;107,2;227,7;240,3;217;104,1;115,3;101,3;133,8;101,7;124,9;109,8;98,7;166;98,5;102,4;117,6
2019;Enero;90,4;91,3;89,2;90,1;90,3;79;76,5;84,1;97,1;92,3;89,9;92,2;94,6;77,5;220,1;90;83,3;98,4;94,8;83,2
;Febrero;86,1;86;85,2;84,9;87,6;69,9;63,7;68,5;88,1;88,6;84,3;83,4;89,2;84,5;144,7;88,8;77,4;92,9;89,4;87,3
;Marzo;94,5;94,6;94,5;94,6;100,5;80,7;75,3;78,7;101;100,6;96,2;95,6;100,3;95,5;84,8;96,4;86,3;94,2;94,4;93,7
;Abril;90,5;90,5;88,9;88,7;95,1;76,4;70,2;73,5;96,4;89,9;86,1;82,7;92,2;82,2;73;90,9;85,1;94,9;96,1;90,1
;Mayo;97,3;97;96,5;95,9;98,4;79,2;84,8;87,4;99,8;99,1;98,5;86,6;97,5;95,3;80,8;99,3;91,5;103;100,4;99,9
;Junio;96,3;97,3;96,3;97,6;99,2;101,7;98,8;94,2;102,7;103,2;98,2;90,1;101,3;98,9;65,8;93,6;92,1;93,3;96,3;87,5
;Julio;100,7;100,4;100;99,5;102,2;85,8;90,4;89,9;105,6;101,8;104,3;100,3;103,5;94,6;85,1;102,8;90,9;104,4;103,3;103,9
;Agosto;103;102,5;102;101,3;103,5;94,4;85,6;88,3;103,5;100,5;110,9;101,8;103,2;105,8;97,8;105,5;96,5;103,4;106,3;107,1
;Septiembre;98,9;98,4;98,2;97,5;101,1;86,5;86,5;92,4;97,3;100,3;97,7;94,4;101;91,1;78,8;103,1;92,5;102,4;101,5;102,9
;Octubre;101,7;101;100,6;99,6;101,5;86,9;90;91,6;102,4;98,2;96,9;106,1;100,4;94,6;75,5;108,4;100,8;106,4;105,5;107,5
;Noviembre;107,3;106,6;108,8;108;100,6;114,3;117,9;118,4;98,5;100,6;116,4;118,5;101,9;128,7;75,7;112,3;127,8;99,4;102,1;114,2
;Diciembre;133,3;134,5;139,8;142,4;120;245,3;260,3;232,9;107,5;125;120,6;148,3;115;151,5;118;108,9;175,7;107,3;109,8;122,6
2020;Enero;99,9;100,3;99,1;99,6;101,5;87,2;81,5;90,2;103,3;101,8;104;100,2;107,5;90,4;232,9;96,3;88,6;106,3;102,7;95,9
;Febrero;99,9;99,6;99,7;99,2;103,7;86,1;71,4;79,1;96,8;102,2;106,4;98,1;107,4;101,6;165,5;101,9;88;104,2;101;103
;Marzo;92,7;95,8;96,4;101;138,9;71,4;41,9;44;119,6;120,4;77,5;71,8;137,3;82,8;61,8;74,1;81,7;78,5;79,5;65,3
;Abril;56,9;62,8;60,7;69;113,5;61,3;9;7;88;77,4;41,2;40,2;98,3;62,8;25,3;26,4;55,2;30;43,3;5,2
;Mayo;74,8;78,2;79;84,2;111,9;81,3;22,8;15;92,3;90;87,1;75,8;111;98,1;47,1;69;68;59,1;59,4;44,3
;Junio;85,1;87,7;89,5;93,6;105,3;90,2;45,7;38;97,2;89,7;128,4;92,9;108,8;133,6;55;85,7;77,8;77,4;68,9;61,8
;Julio;90,6;92,4;94,7;97,7;106,2;86,9;47,5;45,2;112,5;94,2;131,1;96,7;115,2;133,7;58,3;98,5;82,5;87,5;75,8;74,6
;Agosto;87,5;89;90,7;93,2;101,6;85,6;45,5;40,2;106,7;89,1;112,1;92,7;112;124,2;70;98,6;84,2;83,6;75,8;74,1
;Septiembre;98,2;98;101,4;101,6;104;100,7;72,4;64,3;104,3;97,6;117,9;109,6;115,3;118,1;74,3;114,4;96,4;101;86,4;100,2
;Octubre;106,2;105,3;109,7;108,9;110,3;119,5;84,8;78,7;112,5;103;126,1;122,1;121,9;117;66,5;123,3;109,9;105,4;93,8;114,6
;Noviembre;112;112;119;120;107,9;123,2;116;111,8;110;102,8;166,8;144,2;121,9;171,6;71;131,1;137,5;102,7;86,8;111,9
;Diciembre;130,6;130,6;139,3;140,7;126;252,2;216,9;171,6;124,7;122,1;127;148,8;131,5;141,5;105,4;119,4;173,3;110,4;98,9;130,6
2021;Enero;93,9;94,8;96,5;98,1;106,6;85,2;54;47,3;118,3;99,5;107,7;92,8;122,1;106,6;112,5;103,2;91;95,9;84,5;86,2
;Febrero;101,7;100;104,9;103,2;104,3;84,7;63,6;61,2;100,9;99,4;122,8;106,7;118,2;126,8;123,3;125;97,3;106,4;89,9;116,6
;Marzo;113,2;111,4;115,4;113,3;118,3;102;78,6;72,8;117,8;107,2;131,9;123,3;126,1;117,1;81,2;137;111,5;113,5;105,3;129,1
;Abril;95,5;94;97,4;95,8;109,2;81;47,8;50,8;116;93,5;101,4;81,6;114,7;87,3;54,4;113,6;92,6;95,5;88,6;108,8
;Mayo;92,7;93,5;98,6;100,5;115,5;95,5;69,1;66;114,1;99,5;110;98,9;120,8;99,8;61,9;100,4;93,7;79,8;71,5;86,2
;Junio;108,2;106,2;112,9;110,9;112,2;108,4;95,2;88;127,8;103,8;125,4;113;122,9;109;66,1;127,5;110,1;108,9;91,4;126,4
;Julio;119;117,6;122,6;121,3;123,3;111,8;101,3;95,6;127,8;115,4;145,5;125,6;136,2;121,9;79,3;135,9;117;121,4;105,8;131,5
;Agosto;119,8;117,8;123,3;121,3;122,5;111,4;94,4;95,4;118,6;111,4;144,7;126,3;134,7;128,2;95,7;141;120,3;125,1;106,9;136,9
;Septiembre;118,2;115,7;121,3;118,5;119,7;115,6;99,5;96,3;118,7;109,4;126,8;124,5;130,9;106,6;83,5;142;121,5;129,4;107;140,1
;Octubre;127,9;126,1;132,3;130,6;125,5;134,4;113,7;108;119,2;115,1;169,6;146,1;137,1;156,6;79,7;145,6;138,5;129,1;111,9;143,2
;Noviembre;129,1;127,9;134,6;133,8;122,7;144,8;134,8;125,6;120,8;114,5;159,2;162,4;134,8;145,2;91,7;153,3;161,8;136,7;109,4;139,9
;Diciembre;160,7;163;171,5;176,1;148,4;310,6;292,7;240,2;140,1;141;180,6;194,9;154,2;191,2;134,9;151,5;217,2;138,7;121,7;140,8
2022;Enero;122;121,8;125,7;125,9;131,1;112,5;94,1;96,8;147,2;120,7;132,5;137,4;141,5;113,3;218,6;132,3;117;130,8;108,7;123,9
;Febrero;118,9;118,4;122;121,8;127,8;99,4;84,4;91,4;114,4;114,2;123,9;126,2;133,4;120,5;160,7;144;112,9;137;107,7;123
;Marzo;138;137,1;142,9;142,4;144,9;120,9;102,8;102,4;128,2;125,7;188,8;139,7;149;178,6;102,2;162,7;132,7;145,6;120,4;145,7
